^:<name=antho footnote=ck>	note
6.7	The Sixth National Congress of the Communist Party of China was held in July 1928.^p It pointed out that after the defeat in 1927, China's revolution remained bourgeois-democratic in nature, ie, anti-imperialist and anti-feudal, and that since the inevitable new high tide in the revolution was not yet imminent, the general line for the revolution should be to win over the masses.^p The Sixth Congress liquidated the 1927 Right capitulationism of Chen Tu-hsiu and also repudiated the "Left" putschism which occurred in the Party at the end of 1927 and the beginning of 1928.
6.8	The statement in brackets has been added by the author.
6.9	The regime set up in western Fukien came into bang in 1929, when the Red Army in the Chingkang Mountains sallied eastward to build a new revolutionary base area and established the people's revolutionary political power in the counties of Lungyen, Yungting and Shanghang in the western part of that province.
6.10	Stable base areas were the relatively stable revolutionary base areas established by the Workers' and Peasants' Red Army.
6.11	Chiang Po-cheng was then the commander of the Kuomintang peace preservation corps in Chekiang Province.
6.12	Chen Kuo-hui and Lu Hsing-pang were two notorious Fukien bandits whose forces had been incorporated into the Kuomintang army.
6.13	Chang Chen was a divisional commander of the Kuomintang army.
6.14	Chu Pei-the, a Kuomintang warlord, was then the Kuomintang governor of Kiangsi Province.
6.15	Hsiung Shih-hui was then a divisional commander of the Kuomintang army in Kiangsi Province.
7.1	See Confucian Analects, Book III, "Pa Yi": "When Confucius entered the Ancestral Temple he inquired into everything." 
7.2	Li Kuei was a hero in the well-known Chinese novel shui Hu Chuan' (Heroes of the Marshes) which describes the peasant war that occurred towards the end of the Northern Sung Dynasty (960-1127). He was simple, outspoken and very loyal to the revolutionary cause of the peasants, but crude and tactless. 
7.3	Comrade Mao Tse-tung has always laid great stress on investigation, regarding social investigation as the most important task and the basis for defining policy in the work of leadership. The work of investigation was gradually developed in the Fourth Army of the Red Army on Comrade Mao Tsetung's initiative. He stipulated that social investigation should be a regular part of the work, and the Political Department of the Red Army prepared detailed forms covering such items as the state of the mass struggle, the condition of the reactionaries, the economic life of the people and the amount of land owned by each class in the rural areas. Wherever the Red Army went, it first made itself familiar with the class situation in the locality and then formulated slogans suited to the needs of the masses. 
7.4	Here 'the mountains' are the Chingkang mountain area along the borders of Kiangsi and Hunan Provinces; the 'plains’ are those in southern Kiangsi and western Fukien. In January 1929, comrade Mao Tse-tung led the main force of the Fourth Army of the Red Army down from the Chingkang Mountains to southern Kiangsi and western Fukien in order to set up two large revolutionary base areas. 
7.5	The "Book of documents" consisted of the resolutions adopted at the Sixth National Congress of the Communist Party of China in July 1928, including the political resolution and the resolutions on the peasant question, the land question, the organization of political power, etc. Early in 1929 the Front Committee of the Fourth Army of the Red Army published these resolutions in book form for distribution to the Party organizations in the Red Army and to the local Party organizations.
8.1	Between 1930 and 1934 Chiang Kai-shek launched five large-scale onslaughts against the Red area centred on Juichin, Kiangsi; they were called "encirclement and suppression" campaigns.^p The fifth of such campaigns began in October 1 though Chiang Kai-shek had been making active preparations for it since the summer.
8.2	A campaign to check up land distribution was carried out in the Red area after the agrarian reform to ascertain whether the land had been properly redistributed.
8.3	Exposure campaigns were democratic campaigns in which the people were encouraged to expose misdeeds by the functionaries of the democratic government.
9.1	There were various forms of public land in China's rural areas--^p land owned by the township or district government,^p  by the ancestral temple of a clan, by a Buddhist or Taoist temple, a Catholic church or a mosque,^p  or land whose income was used for public welfare purposes such as famine relief,^p  or the building and maintenance of bridges and roads, or for educational purposes.^p  In practice, most of such land was controlled by the landlords and rich peasants, and few peasants had any say in its administration.
10.1	There was usually a decline in farm output in the first year or two after the establishment of a Red area, chiefly because landownership was not yet settled and the new economic order was not fully established during land redistribution, so that the peasants could not yet set their minds fully on production.
10.2	Mutual-aid groups and ploughing teams, based on individual farming, were formed by peasants in the Red areas to facilitate production through a better organization of labour power.^p On the principle of voluntary participation and mutual benefit, the members did an equal amount of work for each other, or if one could not give another as much help as he received he made up the difference in cash.^p Apart from helping each other, the teams gave preferential treatment to the families of Red Army soldiers and worked for bereaved old folk without any pay except for meals during the work.^p As these measures of mutual aid were of great help to production and were carried out on a reasonable basis they won the warm support of the masses.
